t_s,wall_surface_F
0.0,213.78392640714577
0.1,1092.3064673257954
0.2,1244.5347238311324
0.3,1327.8395375580308
0.4,1383.3434962156266
0.5,1424.0469317465775
0.6,1455.6771868256897
0.7000000000000001,1481.2374110275164
0.8,1502.4856807430508
0.9,1520.5333004650133
1.0,1536.1238355531016
1.1,1549.777152349564
1.2,1561.869695986108
1.3,1572.6820079207232
1.4000000000000001,1582.4282555143618
1.5,1591.2753353468684
1.6,1599.355653449525
1.7,1606.7759203191824
1.8,1613.6233498002664
1.9000000000000001,1619.970118089225
2.0,1625.8766281216701
2.1,1631.3939366782
2.2,1636.5655843360614
2.3000000000000003,1641.4289931454598
2.4,1646.0165473272186
2.5,1650.356438860116
2.6,1654.4733368399743
2.7,1658.388923420119
2.8000000000000003,1662.1223277515849
2.9,1665.690481172473
3.0,1669.1084109862884
3.1,1672.3894858583444
3.2,1675.545622694671
3.3000000000000003,1678.587462531248
3.4,1681.524521224439
3.5,1684.3653194378307
3.6,1687.1174954469527
3.7,1689.78790354676
3.8000000000000003,1692.38270028861
3.9,1694.9074203430523
4.0,1697.3670434553346
4.1,1699.766053701483
4.2,1702.108492051623
4.3,1704.3980030851933
4.4,1706.6378765748045
4.5,1708.8310845509925
4.6000000000000005,1710.980314374264
4.7,1713.0879982710626
4.8,1715.1563397305915
4.9,1717.1873371101658
5.0,1719.182804754831
